,ticker,Date,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Change To Operating Activities,Repurchase Of Stock,Dividends Paid
2019-12-31,SSNC,2019-12-31,67600000.0,195600000.0,-140500000.0,-1123800000.0,-513400000.0,125700000.0,438500000.0,676100000.0,1700000.0,1328300000.0,756200000.0,10200000.0,,-38200000.0,675500000.0,-42100000.0,-63000000.0,5900000.0,-83100000.0,-107700000.0
2018-12-31,SSNC,2018-12-31,36500000.0,-74800000.0,-7102600000.0,5603000000.0,7517000000.0,1484000000.0,103200000.0,1048600000.0,-5900000.0,640100000.0,510800000.0,7000000.0,,28100000.0,518400000.0,39900000.0,-33600000.0,29000000.0,-17500000.0,-70900000.0
2017-12-31,SSNC,2017-12-31,36500000.0,-21600000.0,-63300000.0,-467500000.0,-468000000.0,60200000.0,328900000.0,-55000000.0,4500000.0,471800000.0,231800000.0,7000000.0,,-1800000.0,-1500000.0,-104900000.0,-35500000.0,-22100000.0,-4800000.0,-54400000.0
2021-01-31,SPLK,2021-01-31,908743000.0,125320000.0,797190000.0,577615000.0,382882000.0,83422000.0,-907980000.0,992411000.0,3201000.0,-190862000.0,93666000.0,-3461000.0,,-153724000.0,-137379000.0,616252000.0,-37107000.0,-205468000.0,-140776000.0,
2020-01-31,SPLK,2020-01-31,-5505000.0,114325000.0,-707981000.0,577615000.0,-100234000.0,63926000.0,-336668000.0,-1097512000.0,-1661000.0,-287636000.0,67661000.0,-3898000.0,,-679891000.0,-137379000.0,532923000.0,-101119000.0,-170495000.0,-164160000.0,
2019-01-31,SPLK,2019-01-31,-355714000.0,213083000.0,-779278000.0,2102774000.0,1813425000.0,48295000.0,-275577000.0,1330218000.0,-383000.0,296454000.0,52430000.0,-5494000.0,,-220940000.0,-274275000.0,433123000.0,-23160000.0,-11551000.0,-63369000.0,
2018-01-31,SPLK,2018-01-31,41723000.0,235688000.0,-38505000.0,-1808000.0,-101419000.0,38219000.0,-190218000.0,124601000.0,1621000.0,262904000.0,40941000.0,-375000.0,,-150953000.0,-274275000.0,348709000.0,-20503000.0,-67916000.0,-137830000.0,
2020-12-31,IONS,2020-12-31,315525000.0,-78665000.0,274477000.0,,-596609000.0,52036000.0,-451286000.0,-285623000.0,617000.0,35892000.0,17160000.0,,-1261000.0,-13170000.0,-544686000.0,504838000.0,-35120000.0,50820000.0,-103959000.0,
2019-12-31,IONS,2019-12-31,-4992000.0,-135626000.0,-41274000.0,97000000.0,100021000.0,119657000.0,294146000.0,404467000.0,93000.0,345627000.0,15994000.0,,-5411000.0,-47674000.0,-63002000.0,165008000.0,-30905000.0,-20164000.0,-53634000.0,
2018-12-31,IONS,2018-12-31,-911911000.0,493599000.0,-929563000.0,97000000.0,475865000.0,475865000.0,273741000.0,149190000.0,-18000.0,602906000.0,12528000.0,,1400000.0,47595000.0,-63002000.0,-217961000.0,-13608000.0,-42236000.0,-53634000.0,
2017-12-31,IONS,2017-12-31,-320434000.0,31966000.0,-358291000.0,-23982000.0,229087000.0,94668000.0,346000.0,44945000.0,-18000.0,174149000.0,8349000.0,,-2493000.0,45088000.0,158401000.0,95874000.0,-34764000.0,-28838000.0,-53634000.0,
2021-01-02,MIDD,2021-01-02,,-3015000.0,-106757000.0,-47272000.0,-252468000.0,,207294000.0,173603000.0,8043000.0,524785000.0,108086000.0,,66690000.0,90399000.0,-119324000.0,24065000.0,-34849000.0,20849000.0,-85872000.0,
2019-12-28,MIDD,2019-12-28,,-29396000.0,-327667000.0,-17653000.0,-25445000.0,,352240000.0,22799000.0,-1514000.0,377425000.0,101852000.0,,-28288000.0,-27748000.0,-1648000.0,1488000.0,-46609000.0,5701000.0,-6144000.0,
2018-12-29,MIDD,2018-12-29,,13611000.0,-1239423000.0,857738000.0,856129000.0,,317152000.0,-17953000.0,-3573000.0,368914000.0,95782000.0,,-28378000.0,-25347000.0,-1609000.0,-8708000.0,-36040000.0,3346000.0,-6144000.0,
2017-12-30,MIDD,2017-12-30,,-21631000.0,-345466000.0,295674000.0,55836000.0,,298128000.0,21169000.0,6344000.0,304455000.0,68310000.0,,-9744000.0,26180000.0,-1609000.0,9089000.0,-54493000.0,-67341000.0,-239838000.0,
2020-12-31,ALNY,2020-12-31,-333957000.0,99767000.0,-435518000.0,200000000.0,994979000.0,299982000.0,-858281000.0,-50582000.0,4918000.0,-614961000.0,74435000.0,-31200000.0,-35426000.0,-56236000.0,494997000.0,181586000.0,-70361000.0,-20806000.0,,
